session_id,noise_level,log_format,num_lines,failure_cause,affected_service,severity,recommended_action,evidence_lines
sess_00022,high,mixed,10,inventory_out_of_sync,inventory-service,medium,sync_inventory_and_retry,"[5, 6, 7]"
sess_00023,low,mixed,6,inventory_out_of_sync,inventory-service,high,sync_inventory_and_retry,"[3, 4, 5]"
sess_00024,low,json_like,6,message_queue_backlog,queue-service,medium,scale_queue_consumers,"[3, 4, 5]"
sess_00025,none,json_like,4,normal_no_issue,gateway-service,low,no_action_monitor,"[1, 3, 4]"
sess_00026,high,mixed,10,configuration_error,checkout-service,high,rollback_or_fix_configuration,"[5, 6, 7]"
sess_00027,low,mixed,7,payment_gateway_timeout,payment-service,high,check_payment_gateway_and_retry,"[3, 4, 5, 6]"
sess_00028,low,mixed,6,database_query_failure,database-service,medium,check_database_query,"[3, 4, 5]"
sess_00029,medium,mixed,8,normal_no_issue,gateway-service,low,no_action_monitor,"[3, 5, 6]"
sess_00030,low,json_like,7,database_connection_pool_exhaustion,database-service,high,scale_database_pool,"[3, 4, 5, 6]"
sess_00031,low,json_like,6,inventory_out_of_sync,inventory-service,high,sync_inventory_and_retry,"[3, 4, 5]"
sess_00032,low,mixed,6,message_queue_backlog,queue-service,medium,scale_queue_consumers,"[3, 4, 5]"
sess_00033,medium,json_like,9,payment_gateway_timeout,payment-service,high,check_payment_gateway_and_retry,"[4, 5, 6, 7]"
sess_00034,medium,plain,9,payment_gateway_timeout,payment-service,medium,check_payment_gateway_and_retry,"[4, 5, 6, 7]"
sess_00035,none,json_like,4,database_query_failure,database-service,high,check_database_query,"[2, 3, 4]"
sess_00036,high,plain,10,resource_exhaustion,checkout-service,critical,scale_resource_or_restart_service,"[4, 5, 6, 7]"
sess_00037,none,mixed,4,database_query_failure,database-service,medium,check_database_query,"[2, 3, 4]"
sess_00038,low,json_like,6,database_query_failure,database-service,medium,check_database_query,"[3, 4, 5]"
sess_00039,medium,json_like,8,deployment_regression,checkout-service,critical,rollback_deployment,"[4, 5, 6]"
sess_00040,low,mixed,6,normal_no_issue,gateway-service,low,no_action_monitor,"[2, 4, 5]"
sess_00041,high,plain,10,message_queue_backlog,queue-service,high,scale_queue_consumers,"[5, 6, 7]"
sess_00042,high,plain,10,database_query_failure,database-service,high,check_database_query,"[5, 6, 7]"
sess_00043,medium,json_like,8,configuration_error,checkout-service,high,rollback_or_fix_configuration,"[4, 5, 6]"
sess_00044,medium,json_like,8,configuration_error,checkout-service,high,rollback_or_fix_configuration,"[4, 5, 6]"
sess_00045,low,plain,6,authentication_token_expired,auth-service,medium,rotate_or_check_credentials,"[3, 4, 5]"
sess_00046,none,json_like,4,message_queue_backlog,queue-service,high,scale_queue_consumers,"[2, 3, 4]"
sess_00047,medium,json_like,8,normal_no_issue,gateway-service,low,no_action_monitor,"[3, 5, 6]"
sess_00048,medium,mixed,8,inventory_out_of_sync,inventory-service,medium,sync_inventory_and_retry,"[4, 5, 6]"
sess_00049,medium,json_like,9,database_connection_pool_exhaustion,database-service,high,scale_database_pool,"[4, 5, 6, 7]"
sess_00050,high,mixed,11,database_connection_pool_exhaustion,database-service,critical,scale_database_pool,"[5, 6, 7, 8]"
sess_00051,high,json_like,10,deployment_regression,checkout-service,high,rollback_deployment,"[5, 6, 7]"
sess_00052,medium,plain,8,database_query_failure,database-service,medium,check_database_query,"[4, 5, 6]"
sess_00053,high,mixed,10,database_query_failure,database-service,high,check_database_query,"[5, 6, 7]"
sess_00054,low,json_like,6,message_queue_backlog,queue-service,high,scale_queue_consumers,"[3, 4, 5]"
sess_00055,none,plain,4,database_query_failure,database-service,medium,check_database_query,"[2, 3, 4]"
sess_00056,low,mixed,6,authentication_token_expired,auth-service,medium,rotate_or_check_credentials,"[3, 4, 5]"
sess_00057,low,plain,6,database_query_failure,database-service,high,check_database_query,"[3, 4, 5]"
sess_00058,medium,json_like,8,resource_exhaustion,checkout-service,high,scale_resource_or_restart_service,"[3, 4, 5, 6]"
sess_00059,medium,plain,8,database_query_failure,database-service,medium,check_database_query,"[4, 5, 6]"
sess_00060,high,mixed,10,deployment_regression,checkout-service,high,rollback_deployment,"[5, 6, 7]"
sess_00061,low,plain,6,authentication_token_expired,auth-service,medium,rotate_or_check_credentials,"[3, 4, 5]"
sess_00062,low,json_like,6,database_query_failure,database-service,medium,check_database_query,"[3, 4, 5]"
sess_00063,medium,mixed,9,database_connection_pool_exhaustion,database-service,critical,scale_database_pool,"[4, 5, 6, 7]"
sess_00064,none,mixed,4,configuration_error,checkout-service,high,rollback_or_fix_configuration,"[2, 3, 4]"
sess_00065,high,mixed,10,configuration_error,checkout-service,critical,rollback_or_fix_configuration,"[5, 6, 7]"
sess_00066,medium,plain,8,resource_exhaustion,checkout-service,critical,scale_resource_or_restart_service,"[3, 4, 5, 6]"
sess_00067,low,mixed,6,resource_exhaustion,checkout-service,critical,scale_resource_or_restart_service,"[2, 3, 4, 5]"
sess_00068,high,plain,10,database_query_failure,database-service,high,check_database_query,"[5, 6, 7]"
sess_00069,high,mixed,10,configuration_error,checkout-service,high,rollback_or_fix_configuration,"[5, 6, 7]"
sess_00070,none,mixed,4,normal_no_issue,gateway-service,low,no_action_monitor,"[1, 3, 4]"
sess_00071,high,json_like,10,deployment_regression,checkout-service,critical,rollback_deployment,"[5, 6, 7]"
sess_00072,high,plain,10,configuration_error,checkout-service,critical,rollback_or_fix_configuration,"[5, 6, 7]"
sess_00073,medium,json_like,8,inventory_out_of_sync,inventory-service,medium,sync_inventory_and_retry,"[4, 5, 6]"
sess_00074,medium,plain,8,resource_exhaustion,checkout-service,critical,scale_resource_or_restart_service,"[3, 4, 5, 6]"
sess_00075,low,json_like,6,authentication_token_expired,auth-service,high,rotate_or_check_credentials,"[3, 4, 5]"
sess_00076,low,mixed,7,payment_gateway_timeout,payment-service,critical,check_payment_gateway_and_retry,"[3, 4, 5, 6]"
sess_00077,high,json_like,11,payment_gateway_timeout,payment-service,medium,check_payment_gateway_and_retry,"[5, 6, 7, 8]"
sess_00078,low,plain,7,payment_gateway_timeout,payment-service,critical,check_payment_gateway_and_retry,"[3, 4, 5, 6]"
sess_00079,low,mixed,6,normal_no_issue,gateway-service,low,no_action_monitor,"[2, 4, 5]"
sess_00080,low,mixed,7,database_connection_pool_exhaustion,database-service,critical,scale_database_pool,"[3, 4, 5, 6]"
sess_00081,medium,json_like,8,normal_no_issue,gateway-service,low,no_action_monitor,"[3, 5, 6]"
sess_00082,medium,json_like,8,database_query_failure,database-service,medium,check_database_query,"[4, 5, 6]"
sess_00083,low,mixed,6,resource_exhaustion,checkout-service,high,scale_resource_or_restart_service,"[2, 3, 4, 5]"
sess_00084,medium,plain,8,authentication_token_expired,auth-service,medium,rotate_or_check_credentials,"[4, 5, 6]"
sess_00085,medium,plain,8,message_queue_backlog,queue-service,medium,scale_queue_consumers,"[4, 5, 6]"
sess_00086,low,mixed,7,database_connection_pool_exhaustion,database-service,critical,scale_database_pool,"[3, 4, 5, 6]"
sess_00087,medium,plain,8,configuration_error,checkout-service,critical,rollback_or_fix_configuration,"[4, 5, 6]"
sess_00088,low,json_like,6,resource_exhaustion,checkout-service,critical,scale_resource_or_restart_service,"[2, 3, 4, 5]"
sess_00089,high,mixed,10,configuration_error,checkout-service,critical,rollback_or_fix_configuration,"[5, 6, 7]"
sess_00090,high,plain,10,configuration_error,checkout-service,high,rollback_or_fix_configuration,"[5, 6, 7]"
sess_00091,low,plain,6,configuration_error,checkout-service,critical,rollback_or_fix_configuration,"[3, 4, 5]"
sess_00092,low,json_like,6,inventory_out_of_sync,inventory-service,medium,sync_inventory_and_retry,"[3, 4, 5]"
sess_00093,none,plain,4,normal_no_issue,gateway-service,low,no_action_monitor,"[1, 3, 4]"
sess_00094,none,json_like,4,resource_exhaustion,checkout-service,critical,scale_resource_or_restart_service,"[1, 2, 3, 4]"
sess_00095,high,json_like,11,database_connection_pool_exhaustion,database-service,high,scale_database_pool,"[5, 6, 7, 8]"
sess_00096,medium,plain,8,inventory_out_of_sync,inventory-service,medium,sync_inventory_and_retry,"[4, 5, 6]"
sess_00097,low,mixed,6,inventory_out_of_sync,inventory-service,medium,sync_inventory_and_retry,"[3, 4, 5]"
sess_00098,medium,plain,8,database_query_failure,database-service,high,check_database_query,"[4, 5, 6]"
sess_00099,low,mixed,6,inventory_out_of_sync,inventory-service,medium,sync_inventory_and_retry,"[3, 4, 5]"
sess_00100,medium,plain,8,deployment_regression,checkout-service,critical,rollback_deployment,"[4, 5, 6]"
sess_00101,low,mixed,6,inventory_out_of_sync,inventory-service,medium,sync_inventory_and_retry,"[3, 4, 5]"
sess_00102,high,json_like,10,normal_no_issue,gateway-service,low,no_action_monitor,"[4, 6, 7]"
sess_00103,high,mixed,10,inventory_out_of_sync,inventory-service,high,sync_inventory_and_retry,"[5, 6, 7]"
sess_00104,high,mixed,10,inventory_out_of_sync,inventory-service,medium,sync_inventory_and_retry,"[5, 6, 7]"
sess_00105,high,json_like,10,normal_no_issue,gateway-service,low,no_action_monitor,"[4, 6, 7]"
sess_00106,low,json_like,6,inventory_out_of_sync,inventory-service,medium,sync_inventory_and_retry,"[3, 4, 5]"
sess_00107,high,plain,11,payment_gateway_timeout,payment-service,high,check_payment_gateway_and_retry,"[5, 6, 7, 8]"
sess_00108,medium,json_like,8,database_query_failure,database-service,high,check_database_query,"[4, 5, 6]"
sess_00109,high,plain,10,configuration_error,checkout-service,critical,rollback_or_fix_configuration,"[5, 6, 7]"
sess_00110,medium,plain,9,payment_gateway_timeout,payment-service,medium,check_payment_gateway_and_retry,"[4, 5, 6, 7]"
sess_00111,high,json_like,10,deployment_regression,checkout-service,critical,rollback_deployment,"[5, 6, 7]"
sess_00112,low,plain,6,database_query_failure,database-service,medium,check_database_query,"[3, 4, 5]"
sess_00113,low,json_like,6,deployment_regression,checkout-service,high,rollback_deployment,"[3, 4, 5]"
sess_00114,none,mixed,5,database_connection_pool_exhaustion,database-service,high,scale_database_pool,"[2, 3, 4, 5]"
sess_00115,medium,json_like,8,database_query_failure,database-service,high,check_database_query,"[4, 5, 6]"
sess_00116,medium,mixed,8,deployment_regression,checkout-service,critical,rollback_deployment,"[4, 5, 6]"
sess_00117,low,json_like,6,database_query_failure,database-service,medium,check_database_query,"[3, 4, 5]"
sess_00118,none,plain,4,message_queue_backlog,queue-service,medium,scale_queue_consumers,"[2, 3, 4]"
sess_00119,none,plain,4,authentication_token_expired,auth-service,medium,rotate_or_check_credentials,"[2, 3, 4]"
sess_00120,medium,plain,8,inventory_out_of_sync,inventory-service,medium,sync_inventory_and_retry,"[4, 5, 6]"
sess_00121,medium,json_like,9,database_connection_pool_exhaustion,database-service,high,scale_database_pool,"[4, 5, 6, 7]"
sess_00122,low,json_like,6,database_query_failure,database-service,medium,check_database_query,"[3, 4, 5]"
sess_00123,low,plain,6,configuration_error,checkout-service,critical,rollback_or_fix_configuration,"[3, 4, 5]"
sess_00124,low,mixed,6,database_query_failure,database-service,medium,check_database_query,"[3, 4, 5]"
sess_00125,high,json_like,10,deployment_regression,checkout-service,high,rollback_deployment,"[5, 6, 7]"
sess_00126,low,plain,6,database_query_failure,database-service,medium,check_database_query,"[3, 4, 5]"
sess_00127,medium,json_like,8,configuration_error,checkout-service,critical,rollback_or_fix_configuration,"[4, 5, 6]"
sess_00128,low,json_like,7,payment_gateway_timeout,payment-service,high,check_payment_gateway_and_retry,"[3, 4, 5, 6]"
sess_00129,low,plain,7,payment_gateway_timeout,payment-service,high,check_payment_gateway_and_retry,"[3, 4, 5, 6]"
sess_00130,medium,plain,8,database_query_failure,database-service,high,check_database_query,"[4, 5, 6]"
sess_00131,high,plain,10,message_queue_backlog,queue-service,medium,scale_queue_consumers,"[5, 6, 7]"
sess_00132,medium,plain,8,database_query_failure,database-service,medium,check_database_query,"[4, 5, 6]"
sess_00133,low,plain,6,authentication_token_expired,auth-service,high,rotate_or_check_credentials,"[3, 4, 5]"
sess_00134,medium,plain,9,payment_gateway_timeout,payment-service,medium,check_payment_gateway_and_retry,"[4, 5, 6, 7]"
sess_00135,none,plain,4,message_queue_backlog,queue-service,high,scale_queue_consumers,"[2, 3, 4]"
sess_00136,low,json_like,6,database_query_failure,database-service,high,check_database_query,"[3, 4, 5]"
sess_00137,high,mixed,10,message_queue_backlog,queue-service,medium,scale_queue_consumers,"[5, 6, 7]"
sess_00138,medium,json_like,8,database_query_failure,database-service,high,check_database_query,"[4, 5, 6]"
sess_00139,medium,json_like,9,database_connection_pool_exhaustion,database-service,high,scale_database_pool,"[4, 5, 6, 7]"
sess_00140,high,json_like,10,normal_no_issue,gateway-service,low,no_action_monitor,"[4, 6, 7]"
sess_00141,high,plain,10,configuration_error,checkout-service,high,rollback_or_fix_configuration,"[5, 6, 7]"
sess_00142,high,json_like,10,resource_exhaustion,checkout-service,critical,scale_resource_or_restart_service,"[4, 5, 6, 7]"
sess_00143,high,plain,11,database_connection_pool_exhaustion,database-service,critical,scale_database_pool,"[5, 6, 7, 8]"
sess_00144,medium,plain,8,message_queue_backlog,queue-service,medium,scale_queue_consumers,"[4, 5, 6]"
sess_00145,none,mixed,4,normal_no_issue,gateway-service,low,no_action_monitor,"[1, 3, 4]"
sess_00146,medium,json_like,9,database_connection_pool_exhaustion,database-service,high,scale_database_pool,"[4, 5, 6, 7]"
sess_00147,low,mixed,7,payment_gateway_timeout,payment-service,critical,check_payment_gateway_and_retry,"[3, 4, 5, 6]"
sess_00148,low,mixed,7,database_connection_pool_exhaustion,database-service,high,scale_database_pool,"[3, 4, 5, 6]"
sess_00149,high,json_like,10,deployment_regression,checkout-service,high,rollback_deployment,"[5, 6, 7]"
sess_00150,low,plain,6,message_queue_backlog,queue-service,medium,scale_queue_consumers,"[3, 4, 5]"
sess_00151,low,mixed,7,payment_gateway_timeout,payment-service,medium,check_payment_gateway_and_retry,"[3, 4, 5, 6]"
sess_00152,low,plain,6,deployment_regression,checkout-service,high,rollback_deployment,"[3, 4, 5]"
sess_00153,medium,mixed,8,inventory_out_of_sync,inventory-service,high,sync_inventory_and_retry,"[4, 5, 6]"
sess_00154,low,json_like,6,inventory_out_of_sync,inventory-service,high,sync_inventory_and_retry,"[3, 4, 5]"
sess_00155,medium,mixed,9,payment_gateway_timeout,payment-service,medium,check_payment_gateway_and_retry,"[4, 5, 6, 7]"
sess_00156,medium,plain,8,resource_exhaustion,checkout-service,critical,scale_resource_or_restart_service,"[3, 4, 5, 6]"
sess_00157,none,json_like,4,deployment_regression,checkout-service,high,rollback_deployment,"[2, 3, 4]"
sess_00158,high,mixed,11,payment_gateway_timeout,payment-service,medium,check_payment_gateway_and_retry,"[5, 6, 7, 8]"
sess_00159,low,mixed,6,message_queue_backlog,queue-service,high,scale_queue_consumers,"[3, 4, 5]"
sess_00160,low,plain,7,database_connection_pool_exhaustion,database-service,high,scale_database_pool,"[3, 4, 5, 6]"
sess_00161,medium,plain,8,inventory_out_of_sync,inventory-service,medium,sync_inventory_and_retry,"[4, 5, 6]"
sess_00162,low,mixed,6,authentication_token_expired,auth-service,high,rotate_or_check_credentials,"[3, 4, 5]"
sess_00163,low,mixed,6,inventory_out_of_sync,inventory-service,high,sync_inventory_and_retry,"[3, 4, 5]"
sess_00164,low,json_like,6,database_query_failure,database-service,medium,check_database_query,"[3, 4, 5]"
sess_00165,none,mixed,4,database_query_failure,database-service,high,check_database_query,"[2, 3, 4]"
sess_00166,medium,plain,8,message_queue_backlog,queue-service,high,scale_queue_consumers,"[4, 5, 6]"
sess_00167,low,json_like,6,normal_no_issue,gateway-service,low,no_action_monitor,"[2, 4, 5]"
sess_00168,low,json_like,7,database_connection_pool_exhaustion,database-service,high,scale_database_pool,"[3, 4, 5, 6]"
sess_00169,high,mixed,10,authentication_token_expired,auth-service,medium,rotate_or_check_credentials,"[5, 6, 7]"
sess_00170,none,json_like,4,database_query_failure,database-service,high,check_database_query,"[2, 3, 4]"
sess_00171,none,mixed,4,inventory_out_of_sync,inventory-service,medium,sync_inventory_and_retry,"[2, 3, 4]"
sess_00172,low,plain,6,deployment_regression,checkout-service,critical,rollback_deployment,"[3, 4, 5]"
sess_00173,low,json_like,6,resource_exhaustion,checkout-service,critical,scale_resource_or_restart_service,"[2, 3, 4, 5]"
sess_00174,medium,plain,8,database_query_failure,database-service,medium,check_database_query,"[4, 5, 6]"
sess_00175,medium,plain,8,resource_exhaustion,checkout-service,high,scale_resource_or_restart_service,"[3, 4, 5, 6]"
sess_00176,medium,mixed,8,message_queue_backlog,queue-service,high,scale_queue_consumers,"[4, 5, 6]"
sess_00177,low,json_like,6,message_queue_backlog,queue-service,high,scale_queue_consumers,"[3, 4, 5]"
sess_00178,high,json_like,10,deployment_regression,checkout-service,high,rollback_deployment,"[5, 6, 7]"
sess_00179,medium,plain,9,payment_gateway_timeout,payment-service,critical,check_payment_gateway_and_retry,"[4, 5, 6, 7]"
sess_00180,high,plain,11,payment_gateway_timeout,payment-service,critical,check_payment_gateway_and_retry,"[5, 6, 7, 8]"
sess_00181,medium,plain,8,inventory_out_of_sync,inventory-service,medium,sync_inventory_and_retry,"[4, 5, 6]"
sess_00182,medium,plain,8,message_queue_backlog,queue-service,medium,scale_queue_consumers,"[4, 5, 6]"
sess_00183,high,mixed,10,database_query_failure,database-service,high,check_database_query,"[5, 6, 7]"
sess_00184,medium,plain,9,database_connection_pool_exhaustion,database-service,critical,scale_database_pool,"[4, 5, 6, 7]"
sess_00185,high,json_like,10,resource_exhaustion,checkout-service,critical,scale_resource_or_restart_service,"[4, 5, 6, 7]"
sess_00186,low,json_like,6,message_queue_backlog,queue-service,medium,scale_queue_consumers,"[3, 4, 5]"
sess_00187,high,mixed,10,authentication_token_expired,auth-service,high,rotate_or_check_credentials,"[5, 6, 7]"
sess_00188,low,json_like,6,inventory_out_of_sync,inventory-service,high,sync_inventory_and_retry,"[3, 4, 5]"
sess_00189,low,plain,6,configuration_error,checkout-service,high,rollback_or_fix_configuration,"[3, 4, 5]"
sess_00190,low,plain,6,authentication_token_expired,auth-service,medium,rotate_or_check_credentials,"[3, 4, 5]"
sess_00191,high,mixed,10,configuration_error,checkout-service,critical,rollback_or_fix_configuration,"[5, 6, 7]"
sess_00192,medium,mixed,8,resource_exhaustion,checkout-service,high,scale_resource_or_restart_service,"[3, 4, 5, 6]"
sess_00193,high,mixed,10,message_queue_backlog,queue-service,medium,scale_queue_consumers,"[5, 6, 7]"
sess_00194,medium,plain,9,payment_gateway_timeout,payment-service,high,check_payment_gateway_and_retry,"[4, 5, 6, 7]"
sess_00195,medium,plain,8,resource_exhaustion,checkout-service,critical,scale_resource_or_restart_service,"[3, 4, 5, 6]"
sess_00196,medium,mixed,8,normal_no_issue,gateway-service,low,no_action_monitor,"[3, 5, 6]"
sess_00197,medium,json_like,9,database_connection_pool_exhaustion,database-service,critical,scale_database_pool,"[4, 5, 6, 7]"
sess_00198,medium,json_like,8,message_queue_backlog,queue-service,medium,scale_queue_consumers,"[4, 5, 6]"
sess_00199,high,plain,10,message_queue_backlog,queue-service,medium,scale_queue_consumers,"[5, 6, 7]"
sess_00200,medium,json_like,8,inventory_out_of_sync,inventory-service,high,sync_inventory_and_retry,"[4, 5, 6]"
sess_00201,medium,mixed,9,payment_gateway_timeout,payment-service,high,check_payment_gateway_and_retry,"[4, 5, 6, 7]"
sess_00202,high,mixed,10,message_queue_backlog,queue-service,medium,scale_queue_consumers,"[5, 6, 7]"
sess_00203,low,mixed,6,inventory_out_of_sync,inventory-service,medium,sync_inventory_and_retry,"[3, 4, 5]"
sess_00204,medium,plain,8,inventory_out_of_sync,inventory-service,medium,sync_inventory_and_retry,"[4, 5, 6]"
sess_00205,low,json_like,6,inventory_out_of_sync,inventory-service,high,sync_inventory_and_retry,"[3, 4, 5]"
sess_00206,medium,json_like,8,inventory_out_of_sync,inventory-service,medium,sync_inventory_and_retry,"[4, 5, 6]"
sess_00207,low,mixed,6,message_queue_backlog,queue-service,high,scale_queue_consumers,"[3, 4, 5]"
sess_00208,high,json_like,10,inventory_out_of_sync,inventory-service,high,sync_inventory_and_retry,"[5, 6, 7]"
sess_00209,high,json_like,10,authentication_token_expired,auth-service,high,rotate_or_check_credentials,"[5, 6, 7]"
sess_00210,medium,mixed,8,resource_exhaustion,checkout-service,high,scale_resource_or_restart_service,"[3, 4, 5, 6]"
sess_00211,medium,mixed,8,configuration_error,checkout-service,high,rollback_or_fix_configuration,"[4, 5, 6]"
sess_00212,low,json_like,6,authentication_token_expired,auth-service,high,rotate_or_check_credentials,"[3, 4, 5]"
sess_00213,medium,plain,8,deployment_regression,checkout-service,high,rollback_deployment,"[4, 5, 6]"
sess_00214,medium,json_like,8,deployment_regression,checkout-service,high,rollback_deployment,"[4, 5, 6]"
sess_00215,high,json_like,10,normal_no_issue,gateway-service,low,no_action_monitor,"[4, 6, 7]"
sess_00216,low,plain,6,inventory_out_of_sync,inventory-service,high,sync_inventory_and_retry,"[3, 4, 5]"
sess_00217,high,plain,10,configuration_error,checkout-service,high,rollback_or_fix_configuration,"[5, 6, 7]"
sess_00218,low,plain,6,database_query_failure,database-service,high,check_database_query,"[3, 4, 5]"
sess_00219,medium,json_like,8,authentication_token_expired,auth-service,medium,rotate_or_check_credentials,"[4, 5, 6]"
sess_00220,high,json_like,10,message_queue_backlog,queue-service,medium,scale_queue_consumers,"[5, 6, 7]"
sess_00221,high,json_like,10,database_query_failure,database-service,medium,check_database_query,"[5, 6, 7]"
sess_00222,high,mixed,11,payment_gateway_timeout,payment-service,critical,check_payment_gateway_and_retry,"[5, 6, 7, 8]"
sess_00223,high,mixed,10,normal_no_issue,gateway-service,low,no_action_monitor,"[4, 6, 7]"
sess_00224,medium,mixed,8,deployment_regression,checkout-service,critical,rollback_deployment,"[4, 5, 6]"
sess_00225,medium,json_like,8,authentication_token_expired,auth-service,medium,rotate_or_check_credentials,"[4, 5, 6]"
sess_00226,medium,json_like,8,deployment_regression,checkout-service,high,rollback_deployment,"[4, 5, 6]"
sess_00227,high,mixed,10,deployment_regression,checkout-service,high,rollback_deployment,"[5, 6, 7]"
sess_00228,medium,plain,8,message_queue_backlog,queue-service,medium,scale_queue_consumers,"[4, 5, 6]"
sess_00229,high,plain,10,inventory_out_of_sync,inventory-service,medium,sync_inventory_and_retry,"[5, 6, 7]"
sess_00230,low,json_like,6,authentication_token_expired,auth-service,high,rotate_or_check_credentials,"[3, 4, 5]"
sess_00231,medium,json_like,8,database_query_failure,database-service,high,check_database_query,"[4, 5, 6]"
sess_00232,low,mixed,7,database_connection_pool_exhaustion,database-service,high,scale_database_pool,"[3, 4, 5, 6]"
sess_00233,medium,json_like,8,inventory_out_of_sync,inventory-service,high,sync_inventory_and_retry,"[4, 5, 6]"
sess_00234,low,json_like,7,database_connection_pool_exhaustion,database-service,critical,scale_database_pool,"[3, 4, 5, 6]"
sess_00235,low,json_like,6,configuration_error,checkout-service,critical,rollback_or_fix_configuration,"[3, 4, 5]"
sess_00236,high,json_like,10,database_query_failure,database-service,medium,check_database_query,"[5, 6, 7]"
sess_00237,high,plain,10,inventory_out_of_sync,inventory-service,medium,sync_inventory_and_retry,"[5, 6, 7]"
sess_00238,high,json_like,10,configuration_error,checkout-service,critical,rollback_or_fix_configuration,"[5, 6, 7]"
sess_00239,medium,json_like,8,inventory_out_of_sync,inventory-service,medium,sync_inventory_and_retry,"[4, 5, 6]"
sess_00240,high,mixed,10,database_query_failure,database-service,high,check_database_query,"[5, 6, 7]"
sess_00241,low,plain,6,deployment_regression,checkout-service,critical,rollback_deployment,"[3, 4, 5]"
sess_00242,medium,plain,8,deployment_regression,checkout-service,critical,rollback_deployment,"[4, 5, 6]"
sess_00243,low,mixed,6,database_query_failure,database-service,high,check_database_query,"[3, 4, 5]"
sess_00244,none,json_like,4,resource_exhaustion,checkout-service,high,scale_resource_or_restart_service,"[1, 2, 3, 4]"
sess_00245,medium,mixed,9,database_connection_pool_exhaustion,database-service,high,scale_database_pool,"[4, 5, 6, 7]"
sess_00246,medium,mixed,8,message_queue_backlog,queue-service,medium,scale_queue_consumers,"[4, 5, 6]"
sess_00247,low,mixed,6,database_query_failure,database-service,medium,check_database_query,"[3, 4, 5]"
sess_00248,high,mixed,10,resource_exhaustion,checkout-service,critical,scale_resource_or_restart_service,"[4, 5, 6, 7]"
sess_00249,medium,json_like,8,authentication_token_expired,auth-service,high,rotate_or_check_credentials,"[4, 5, 6]"
sess_00250,medium,json_like,8,message_queue_backlog,queue-service,medium,scale_queue_consumers,"[4, 5, 6]"
sess_00251,high,json_like,10,authentication_token_expired,auth-service,high,rotate_or_check_credentials,"[5, 6, 7]"
sess_00252,low,plain,7,database_connection_pool_exhaustion,database-service,high,scale_database_pool,"[3, 4, 5, 6]"
sess_00253,medium,mixed,8,inventory_out_of_sync,inventory-service,medium,sync_inventory_and_retry,"[4, 5, 6]"
sess_00254,none,mixed,4,normal_no_issue,gateway-service,low,no_action_monitor,"[1, 3, 4]"
sess_00255,low,plain,6,deployment_regression,checkout-service,high,rollback_deployment,"[3, 4, 5]"
sess_00256,medium,mixed,8,configuration_error,checkout-service,critical,rollback_or_fix_configuration,"[4, 5, 6]"
sess_00257,high,plain,10,resource_exhaustion,checkout-service,high,scale_resource_or_restart_service,"[4, 5, 6, 7]"
sess_00258,high,plain,10,configuration_error,checkout-service,critical,rollback_or_fix_configuration,"[5, 6, 7]"
