session_id,noise_level,log_length,evidence_count,failure_cause,affected_service,severity,recommended_action,evidence_lines
sess_00035,medium,9,3,external_api_failure,payment-service,high,inspect_network_dependency,"[3, 5, 7]"
sess_00036,none,7,3,authentication_failure,auth-service,high,rotate_or_check_credentials,"[4, 6, 7]"
sess_00037,medium,8,3,network_timeout,gateway,high,inspect_network_dependency,"[3, 6, 8]"
sess_00038,low,8,3,payment_gateway_timeout,payment-service,high,check_payment_gateway_and_retry,"[4, 6, 8]"
sess_00039,high,10,3,authentication_failure,auth-service,high,rotate_or_check_credentials,"[4, 6, 8]"
sess_00040,low,7,3,deployment_regression,checkout-service,high,rollback_deployment,"[4, 5, 7]"
sess_00041,low,7,3,payment_gateway_timeout,payment-service,medium,check_payment_gateway_and_retry,"[4, 5, 7]"
sess_00042,medium,8,3,external_api_failure,payment-service,medium,inspect_network_dependency,"[3, 4, 7]"
sess_00043,low,7,3,deployment_regression,checkout-service,critical,rollback_deployment,"[4, 5, 7]"
sess_00044,low,8,3,resource_exhaustion,payment-service,high,scale_resource,"[4, 6, 8]"
sess_00045,low,5,3,normal_no_issue,gateway,low,no_action_monitor,"[3, 4, 5]"
sess_00046,low,6,3,network_timeout,gateway,medium,inspect_network_dependency,"[4, 5, 6]"
sess_00047,medium,7,2,message_queue_backlog,message-queue,high,scale_resource,"[4, 7]"
sess_00048,none,7,3,normal_no_issue,gateway,low,no_action_monitor,"[4, 6, 7]"
sess_00049,low,7,3,resource_exhaustion,payment-service,critical,scale_resource,"[4, 5, 7]"
sess_00050,low,5,3,configuration_error,checkout-service,critical,rollback_deployment,"[3, 4, 5]"
sess_00051,medium,8,3,external_api_failure,payment-service,medium,inspect_network_dependency,"[4, 5, 7]"
sess_00052,low,6,3,configuration_error,checkout-service,critical,rollback_deployment,"[3, 4, 6]"
sess_00053,none,7,3,authentication_failure,auth-service,medium,rotate_or_check_credentials,"[3, 5, 7]"
sess_00054,low,7,3,network_timeout,gateway,medium,inspect_network_dependency,"[4, 6, 7]"
sess_00055,medium,11,3,deployment_regression,checkout-service,high,rollback_deployment,"[4, 7, 9]"
sess_00056,medium,10,3,inventory_out_of_sync,inventory-service,high,reconcile_inventory_state,"[3, 5, 8]"
sess_00057,high,9,3,configuration_error,checkout-service,low,rollback_deployment,"[4, 6, 8]"
sess_00058,medium,10,3,message_queue_backlog,message-queue,medium,scale_resource,"[3, 5, 7]"
sess_00059,low,7,3,external_api_failure,payment-service,medium,inspect_network_dependency,"[4, 5, 7]"
sess_00060,none,6,3,database_query_failure,database,high,escalate_to_database_team,"[3, 4, 6]"
sess_00061,medium,10,3,message_queue_backlog,message-queue,medium,scale_resource,"[4, 6, 9]"
sess_00062,high,10,3,database_query_failure,database,high,escalate_to_database_team,"[4, 6, 8]"
sess_00063,none,5,3,resource_exhaustion,payment-service,high,scale_resource,"[3, 4, 5]"
sess_00064,low,8,3,deployment_regression,checkout-service,high,rollback_deployment,"[4, 6, 8]"
sess_00065,medium,7,2,database_query_failure,database,high,escalate_to_database_team,"[4, 7]"
sess_00066,high,10,3,inventory_out_of_sync,inventory-service,medium,reconcile_inventory_state,"[4, 7, 9]"
sess_00067,medium,9,3,authentication_failure,auth-service,high,rotate_or_check_credentials,"[3, 6, 8]"
sess_00068,medium,10,3,database_query_failure,database,high,escalate_to_database_team,"[4, 6, 8]"
sess_00069,none,8,3,normal_no_issue,gateway,low,no_action_monitor,"[4, 6, 8]"
sess_00070,high,10,3,configuration_error,checkout-service,critical,rollback_deployment,"[3, 6, 8]"
sess_00071,medium,7,3,deployment_regression,checkout-service,high,rollback_deployment,"[3, 5, 7]"
sess_00072,low,7,3,normal_no_issue,gateway,low,no_action_monitor,"[4, 6, 7]"
sess_00073,none,7,3,external_api_failure,payment-service,high,inspect_network_dependency,"[3, 5, 7]"
sess_00074,high,8,3,authentication_failure,auth-service,medium,rotate_or_check_credentials,"[3, 6, 7]"
sess_00075,none,6,3,database_query_failure,database,high,escalate_to_database_team,"[3, 5, 6]"
sess_00076,none,8,3,inventory_out_of_sync,inventory-service,medium,reconcile_inventory_state,"[4, 6, 8]"
sess_00077,low,7,3,external_api_failure,payment-service,high,inspect_network_dependency,"[4, 6, 7]"
sess_00078,low,8,3,inventory_out_of_sync,inventory-service,medium,reconcile_inventory_state,"[4, 6, 8]"
sess_00079,low,7,3,external_api_failure,payment-service,medium,inspect_network_dependency,"[4, 5, 7]"
sess_00080,medium,8,2,payment_gateway_timeout,payment-service,medium,check_payment_gateway_and_retry,"[4, 7]"
sess_00081,medium,7,3,external_api_failure,payment-service,high,inspect_network_dependency,"[3, 5, 7]"
sess_00082,low,7,3,message_queue_backlog,message-queue,high,scale_resource,"[3, 5, 7]"
sess_00083,high,10,3,normal_no_issue,gateway,low,no_action_monitor,"[4, 8, 9]"
sess_00084,low,8,3,external_api_failure,payment-service,high,inspect_network_dependency,"[4, 6, 8]"
sess_00085,medium,10,3,deployment_regression,checkout-service,critical,rollback_deployment,"[4, 6, 8]"
sess_00086,medium,8,2,normal_no_issue,gateway,low,no_action_monitor,"[4, 7]"
sess_00087,high,10,3,database_connection_pool_exhaustion,database,high,scale_resource,"[3, 5, 6]"
sess_00088,high,11,3,deployment_regression,checkout-service,critical,rollback_deployment,"[4, 7, 8]"
sess_00089,medium,10,3,database_query_failure,database,medium,escalate_to_database_team,"[3, 6, 9]"
sess_00090,medium,9,2,normal_no_issue,gateway,low,no_action_monitor,"[4, 7]"
sess_00091,low,7,3,database_query_failure,database,medium,escalate_to_database_team,"[3, 5, 7]"
sess_00092,medium,10,3,message_queue_backlog,message-queue,high,scale_resource,"[4, 6, 8]"
sess_00093,medium,10,3,authentication_failure,auth-service,high,rotate_or_check_credentials,"[4, 5, 8]"
sess_00094,none,8,3,deployment_regression,checkout-service,critical,rollback_deployment,"[4, 6, 8]"
sess_00095,low,6,3,external_api_failure,payment-service,high,inspect_network_dependency,"[4, 5, 6]"
sess_00096,medium,8,3,configuration_error,checkout-service,high,rollback_deployment,"[3, 6, 7]"
sess_00097,low,7,3,resource_exhaustion,payment-service,critical,scale_resource,"[3, 5, 7]"
sess_00098,medium,8,2,external_api_failure,payment-service,high,inspect_network_dependency,"[3, 6]"
sess_00099,low,8,3,deployment_regression,checkout-service,critical,rollback_deployment,"[4, 6, 8]"
sess_00100,low,6,3,database_connection_pool_exhaustion,database,critical,scale_resource,"[3, 4, 6]"
sess_00101,medium,9,3,network_timeout,gateway,medium,inspect_network_dependency,"[4, 6, 7]"
sess_00102,low,7,3,deployment_regression,checkout-service,high,rollback_deployment,"[4, 5, 7]"
sess_00103,medium,7,2,authentication_failure,auth-service,high,rotate_or_check_credentials,"[4, 6]"
sess_00104,none,6,3,network_timeout,gateway,high,inspect_network_dependency,"[3, 4, 6]"
sess_00105,none,7,3,deployment_regression,checkout-service,critical,rollback_deployment,"[4, 5, 7]"
sess_00106,low,7,2,network_timeout,gateway,high,inspect_network_dependency,"[4, 6]"
sess_00107,none,6,3,deployment_regression,checkout-service,high,rollback_deployment,"[4, 5, 6]"
sess_00108,medium,7,2,normal_no_issue,gateway,low,no_action_monitor,"[4, 6]"
sess_00109,low,7,3,database_connection_pool_exhaustion,database,critical,scale_resource,"[4, 5, 7]"
sess_00110,low,6,3,message_queue_backlog,message-queue,medium,scale_resource,"[3, 5, 6]"
sess_00111,low,7,3,external_api_failure,payment-service,high,inspect_network_dependency,"[3, 5, 7]"
sess_00112,medium,8,3,configuration_error,checkout-service,high,rollback_deployment,"[3, 6, 7]"
sess_00113,low,5,3,resource_exhaustion,payment-service,high,scale_resource,"[3, 4, 5]"
sess_00114,none,6,3,inventory_out_of_sync,inventory-service,high,reconcile_inventory_state,"[3, 5, 6]"
sess_00115,medium,11,3,authentication_failure,auth-service,medium,rotate_or_check_credentials,"[4, 7, 10]"
sess_00116,low,6,3,external_api_failure,payment-service,medium,inspect_network_dependency,"[3, 5, 6]"
sess_00117,medium,9,3,database_query_failure,database,high,escalate_to_database_team,"[4, 6, 7]"
sess_00118,medium,8,3,payment_gateway_timeout,payment-service,high,check_payment_gateway_and_retry,"[4, 6, 8]"
sess_00119,high,7,3,network_timeout,gateway,high,inspect_network_dependency,"[3, 5, 6]"
sess_00120,low,5,3,message_queue_backlog,message-queue,high,scale_resource,"[3, 4, 5]"
sess_00121,high,10,3,configuration_error,checkout-service,high,rollback_deployment,"[3, 8, 9]"
sess_00122,low,6,3,deployment_regression,checkout-service,critical,rollback_deployment,"[4, 5, 6]"
sess_00123,low,7,3,message_queue_backlog,message-queue,high,scale_resource,"[4, 6, 7]"
sess_00124,low,7,3,resource_exhaustion,payment-service,high,scale_resource,"[3, 5, 7]"
sess_00125,high,7,3,deployment_regression,checkout-service,high,rollback_deployment,"[3, 4, 6]"
sess_00126,medium,8,3,database_connection_pool_exhaustion,database,critical,scale_resource,"[3, 5, 7]"
sess_00127,low,7,3,network_timeout,gateway,medium,inspect_network_dependency,"[3, 5, 7]"
sess_00128,none,7,3,normal_no_issue,gateway,low,no_action_monitor,"[4, 6, 7]"
sess_00129,low,7,3,database_query_failure,database,high,escalate_to_database_team,"[3, 5, 7]"
sess_00130,none,5,3,message_queue_backlog,message-queue,high,scale_resource,"[3, 4, 5]"
sess_00131,none,7,3,message_queue_backlog,message-queue,high,scale_resource,"[4, 5, 7]"
sess_00132,medium,9,3,message_queue_backlog,message-queue,medium,scale_resource,"[4, 5, 7]"
sess_00133,medium,8,3,inventory_out_of_sync,inventory-service,medium,reconcile_inventory_state,"[4, 5, 7]"
sess_00134,low,7,3,normal_no_issue,gateway,low,no_action_monitor,"[4, 5, 7]"
sess_00135,medium,7,2,network_timeout,gateway,medium,inspect_network_dependency,"[3, 5]"
sess_00136,low,7,3,network_timeout,gateway,high,inspect_network_dependency,"[3, 5, 7]"
sess_00137,medium,9,3,payment_gateway_timeout,payment-service,medium,check_payment_gateway_and_retry,"[4, 6, 8]"
sess_00138,medium,9,3,normal_no_issue,gateway,low,no_action_monitor,"[4, 6, 9]"
sess_00139,low,7,3,network_timeout,gateway,high,inspect_network_dependency,"[4, 5, 7]"
sess_00140,low,8,3,configuration_error,checkout-service,high,rollback_deployment,"[4, 6, 8]"
sess_00141,high,12,3,message_queue_backlog,message-queue,high,scale_resource,"[4, 7, 10]"
sess_00142,medium,10,3,database_query_failure,database,medium,escalate_to_database_team,"[4, 5, 8]"
sess_00143,high,9,3,normal_no_issue,gateway,low,no_action_monitor,"[3, 5, 7]"
sess_00144,low,7,3,authentication_failure,auth-service,high,rotate_or_check_credentials,"[3, 5, 7]"
sess_00145,medium,10,3,database_connection_pool_exhaustion,database,high,scale_resource,"[4, 6, 9]"
sess_00146,high,10,3,authentication_failure,auth-service,high,rotate_or_check_credentials,"[3, 6, 8]"
sess_00147,low,5,3,inventory_out_of_sync,inventory-service,medium,reconcile_inventory_state,"[3, 4, 5]"
sess_00148,medium,8,3,payment_gateway_timeout,payment-service,medium,check_payment_gateway_and_retry,"[3, 5, 7]"
sess_00149,low,6,3,resource_exhaustion,payment-service,critical,scale_resource,"[3, 5, 6]"
sess_00150,medium,8,3,payment_gateway_timeout,payment-service,high,check_payment_gateway_and_retry,"[4, 6, 7]"
sess_00151,low,7,3,normal_no_issue,gateway,low,no_action_monitor,"[3, 5, 7]"
sess_00152,none,5,3,network_timeout,gateway,high,inspect_network_dependency,"[3, 4, 5]"
sess_00153,medium,9,3,resource_exhaustion,payment-service,critical,scale_resource,"[4, 7, 9]"
sess_00154,low,7,3,resource_exhaustion,payment-service,low,scale_resource,"[4, 5, 7]"
sess_00155,low,7,3,normal_no_issue,gateway,low,no_action_monitor,"[3, 5, 7]"
sess_00156,high,9,2,network_timeout,gateway,medium,inspect_network_dependency,"[4, 5]"
sess_00157,low,7,3,configuration_error,checkout-service,high,rollback_deployment,"[3, 5, 7]"
sess_00158,high,10,3,normal_no_issue,gateway,low,no_action_monitor,"[3, 5, 8]"
sess_00159,none,6,3,database_query_failure,database,medium,escalate_to_database_team,"[3, 4, 6]"
sess_00160,medium,9,3,authentication_failure,auth-service,high,rotate_or_check_credentials,"[3, 6, 8]"
sess_00161,medium,8,3,network_timeout,gateway,high,inspect_network_dependency,"[4, 6, 8]"
sess_00162,medium,11,3,external_api_failure,payment-service,medium,inspect_network_dependency,"[4, 7, 9]"
sess_00163,medium,9,3,resource_exhaustion,payment-service,high,scale_resource,"[3, 5, 6]"
sess_00164,medium,8,3,resource_exhaustion,payment-service,medium,scale_resource,"[3, 5, 7]"
sess_00165,medium,8,3,inventory_out_of_sync,inventory-service,medium,reconcile_inventory_state,"[4, 6, 7]"
sess_00166,medium,9,3,inventory_out_of_sync,inventory-service,medium,reconcile_inventory_state,"[3, 6, 9]"
sess_00167,medium,7,2,inventory_out_of_sync,inventory-service,medium,reconcile_inventory_state,"[3, 6]"
sess_00168,medium,10,3,deployment_regression,checkout-service,low,rollback_deployment,"[4, 5, 8]"
sess_00169,low,8,3,configuration_error,checkout-service,high,rollback_deployment,"[4, 6, 8]"
sess_00170,none,7,3,network_timeout,gateway,high,inspect_network_dependency,"[3, 5, 7]"
sess_00171,low,6,3,database_query_failure,database,medium,escalate_to_database_team,"[3, 4, 6]"
sess_00172,none,8,3,resource_exhaustion,payment-service,high,scale_resource,"[4, 6, 8]"
sess_00173,low,8,3,external_api_failure,payment-service,high,inspect_network_dependency,"[4, 6, 8]"
sess_00174,high,9,2,external_api_failure,payment-service,low,inspect_network_dependency,"[8, 9]"
sess_00175,high,8,3,database_connection_pool_exhaustion,database,high,scale_resource,"[3, 4, 6]"
sess_00176,low,6,3,deployment_regression,checkout-service,critical,rollback_deployment,"[4, 5, 6]"
sess_00177,none,7,3,configuration_error,checkout-service,high,rollback_deployment,"[4, 6, 7]"
sess_00178,low,6,3,database_query_failure,database,medium,escalate_to_database_team,"[3, 4, 6]"
sess_00179,low,7,3,inventory_out_of_sync,inventory-service,high,reconcile_inventory_state,"[4, 6, 7]"
sess_00180,high,11,3,message_queue_backlog,message-queue,high,scale_resource,"[4, 6, 9]"
sess_00181,none,7,3,configuration_error,checkout-service,high,rollback_deployment,"[4, 6, 7]"
sess_00182,medium,7,3,message_queue_backlog,message-queue,high,scale_resource,"[3, 5, 7]"
sess_00183,low,7,3,message_queue_backlog,message-queue,high,scale_resource,"[4, 6, 7]"
sess_00184,low,8,3,message_queue_backlog,message-queue,high,scale_resource,"[4, 6, 8]"
sess_00185,none,6,3,message_queue_backlog,message-queue,high,scale_resource,"[4, 5, 6]"
sess_00186,high,7,3,configuration_error,checkout-service,critical,rollback_deployment,"[3, 5, 7]"
sess_00187,medium,8,3,inventory_out_of_sync,inventory-service,high,reconcile_inventory_state,"[4, 7, 8]"
sess_00188,low,8,3,message_queue_backlog,message-queue,medium,scale_resource,"[4, 6, 8]"
sess_00189,none,8,3,payment_gateway_timeout,payment-service,high,check_payment_gateway_and_retry,"[4, 6, 8]"
sess_00190,none,7,3,network_timeout,gateway,medium,inspect_network_dependency,"[3, 5, 7]"
sess_00191,medium,10,3,normal_no_issue,gateway,low,no_action_monitor,"[3, 6, 9]"
sess_00192,medium,10,3,network_timeout,gateway,medium,inspect_network_dependency,"[3, 5, 8]"
sess_00193,low,7,3,authentication_failure,auth-service,medium,rotate_or_check_credentials,"[4, 5, 7]"
sess_00194,low,6,3,database_connection_pool_exhaustion,database,high,scale_resource,"[3, 5, 6]"
sess_00195,low,7,3,normal_no_issue,gateway,low,no_action_monitor,"[4, 5, 7]"
sess_00196,none,6,3,network_timeout,gateway,high,inspect_network_dependency,"[3, 4, 6]"
sess_00197,low,7,3,database_query_failure,database,medium,escalate_to_database_team,"[3, 5, 7]"
sess_00198,low,6,3,payment_gateway_timeout,payment-service,high,check_payment_gateway_and_retry,"[3, 5, 6]"
sess_00199,low,8,3,normal_no_issue,gateway,low,no_action_monitor,"[4, 6, 8]"
sess_00200,low,6,3,external_api_failure,payment-service,medium,inspect_network_dependency,"[3, 5, 6]"
sess_00201,medium,8,3,external_api_failure,payment-service,medium,inspect_network_dependency,"[4, 5, 7]"
sess_00202,low,6,3,network_timeout,gateway,medium,inspect_network_dependency,"[3, 5, 6]"
sess_00203,medium,8,2,normal_no_issue,gateway,low,no_action_monitor,"[4, 6]"
sess_00204,none,7,3,database_connection_pool_exhaustion,database,critical,scale_resource,"[3, 5, 7]"
sess_00205,none,7,3,payment_gateway_timeout,payment-service,high,check_payment_gateway_and_retry,"[3, 5, 7]"
sess_00206,medium,10,3,database_connection_pool_exhaustion,database,high,scale_resource,"[4, 6, 8]"
sess_00207,high,10,3,payment_gateway_timeout,payment-service,high,check_payment_gateway_and_retry,"[4, 7, 8]"
sess_00208,high,9,2,deployment_regression,checkout-service,high,rollback_deployment,"[3, 4]"
sess_00209,low,6,3,payment_gateway_timeout,payment-service,high,check_payment_gateway_and_retry,"[4, 5, 6]"
sess_00210,low,8,3,network_timeout,gateway,medium,inspect_network_dependency,"[4, 6, 8]"
sess_00211,high,10,3,inventory_out_of_sync,inventory-service,medium,reconcile_inventory_state,"[4, 5, 9]"
sess_00212,low,6,3,network_timeout,gateway,high,inspect_network_dependency,"[3, 4, 6]"
sess_00213,none,8,3,configuration_error,checkout-service,high,rollback_deployment,"[4, 6, 8]"
sess_00214,high,9,3,external_api_failure,payment-service,high,inspect_network_dependency,"[4, 6, 9]"
sess_00215,none,6,3,database_query_failure,database,high,escalate_to_database_team,"[3, 5, 6]"
sess_00216,high,10,3,external_api_failure,payment-service,medium,inspect_network_dependency,"[3, 5, 7]"
sess_00217,medium,9,3,external_api_failure,payment-service,high,inspect_network_dependency,"[3, 6, 7]"
sess_00218,none,6,3,inventory_out_of_sync,inventory-service,medium,reconcile_inventory_state,"[3, 4, 6]"
sess_00219,low,7,3,payment_gateway_timeout,payment-service,high,check_payment_gateway_and_retry,"[4, 6, 7]"
sess_00220,medium,10,3,normal_no_issue,gateway,low,no_action_monitor,"[4, 6, 9]"
sess_00221,medium,7,3,authentication_failure,auth-service,medium,rotate_or_check_credentials,"[3, 5, 7]"
sess_00222,low,7,3,external_api_failure,payment-service,high,inspect_network_dependency,"[4, 6, 7]"
sess_00223,high,8,3,database_query_failure,database,medium,escalate_to_database_team,"[3, 4, 6]"
sess_00224,low,6,3,message_queue_backlog,message-queue,high,scale_resource,"[3, 4, 6]"
sess_00225,low,8,3,external_api_failure,payment-service,medium,inspect_network_dependency,"[4, 6, 8]"
sess_00226,high,11,3,deployment_regression,checkout-service,low,rollback_deployment,"[4, 6, 8]"
sess_00227,low,8,3,inventory_out_of_sync,inventory-service,medium,reconcile_inventory_state,"[4, 6, 8]"
sess_00228,high,12,3,deployment_regression,checkout-service,critical,rollback_deployment,"[4, 7, 8]"
sess_00229,none,7,3,deployment_regression,checkout-service,high,rollback_deployment,"[3, 5, 7]"
sess_00230,medium,9,3,inventory_out_of_sync,inventory-service,medium,reconcile_inventory_state,"[3, 5, 7]"
sess_00231,low,8,3,database_query_failure,database,critical,escalate_to_database_team,"[4, 6, 8]"
sess_00232,low,7,3,normal_no_issue,gateway,low,no_action_monitor,"[4, 6, 7]"
sess_00233,medium,9,3,message_queue_backlog,message-queue,high,scale_resource,"[3, 5, 7]"
sess_00234,medium,7,3,inventory_out_of_sync,inventory-service,high,reconcile_inventory_state,"[4, 5, 6]"
sess_00235,medium,8,3,normal_no_issue,gateway,low,no_action_monitor,"[4, 7, 8]"
sess_00236,high,12,3,network_timeout,gateway,high,inspect_network_dependency,"[4, 6, 8]"
sess_00237,low,8,3,deployment_regression,checkout-service,high,rollback_deployment,"[4, 6, 8]"
sess_00238,low,7,2,normal_no_issue,gateway,low,no_action_monitor,"[4, 6]"
sess_00239,medium,9,3,authentication_failure,auth-service,high,rotate_or_check_credentials,"[4, 6, 9]"
sess_00240,low,6,3,resource_exhaustion,payment-service,high,scale_resource,"[3, 4, 6]"
sess_00241,none,6,3,network_timeout,gateway,medium,inspect_network_dependency,"[3, 4, 6]"
sess_00242,high,8,2,configuration_error,checkout-service,high,rollback_deployment,"[3, 6]"
sess_00243,high,8,3,external_api_failure,payment-service,medium,inspect_network_dependency,"[3, 6, 8]"
sess_00244,low,7,3,configuration_error,checkout-service,high,rollback_deployment,"[4, 6, 7]"
sess_00245,medium,7,2,configuration_error,checkout-service,high,rollback_deployment,"[4, 7]"
sess_00246,low,8,3,normal_no_issue,gateway,low,no_action_monitor,"[4, 6, 8]"
sess_00247,none,6,3,inventory_out_of_sync,inventory-service,medium,reconcile_inventory_state,"[3, 5, 6]"
sess_00248,medium,8,3,authentication_failure,auth-service,medium,rotate_or_check_credentials,"[4, 5, 7]"
sess_00249,medium,10,3,configuration_error,checkout-service,high,rollback_deployment,"[4, 6, 8]"
sess_00250,low,6,3,deployment_regression,checkout-service,high,rollback_deployment,"[3, 5, 6]"
sess_00251,low,6,3,message_queue_backlog,message-queue,medium,scale_resource,"[3, 4, 6]"
sess_00252,low,6,3,resource_exhaustion,payment-service,critical,scale_resource,"[4, 5, 6]"
sess_00253,high,10,3,database_query_failure,database,medium,escalate_to_database_team,"[3, 5, 7]"
sess_00254,medium,12,3,network_timeout,gateway,medium,inspect_network_dependency,"[4, 7, 9]"
sess_00255,low,7,3,external_api_failure,payment-service,high,inspect_network_dependency,"[4, 6, 7]"
sess_00256,low,8,3,resource_exhaustion,payment-service,high,scale_resource,"[4, 6, 8]"
sess_00257,medium,9,3,configuration_error,checkout-service,critical,rollback_deployment,"[4, 6, 7]"
sess_00258,medium,8,3,configuration_error,checkout-service,critical,rollback_deployment,"[4, 6, 8]"
sess_00259,medium,9,3,deployment_regression,checkout-service,high,rollback_deployment,"[4, 6, 7]"
sess_00260,low,7,3,inventory_out_of_sync,inventory-service,medium,reconcile_inventory_state,"[4, 6, 7]"
sess_00261,low,8,3,authentication_failure,auth-service,medium,rotate_or_check_credentials,"[4, 6, 8]"
sess_00262,low,7,3,database_connection_pool_exhaustion,database,critical,scale_resource,"[4, 5, 7]"
sess_00263,low,7,3,external_api_failure,payment-service,high,inspect_network_dependency,"[4, 6, 7]"
sess_00264,medium,8,3,database_query_failure,database,high,escalate_to_database_team,"[4, 5, 7]"
sess_00265,low,7,3,database_query_failure,database,high,escalate_to_database_team,"[3, 5, 7]"
sess_00266,low,6,3,database_connection_pool_exhaustion,database,high,scale_resource,"[3, 4, 6]"
sess_00267,low,8,3,inventory_out_of_sync,inventory-service,high,reconcile_inventory_state,"[4, 6, 8]"
sess_00268,medium,9,3,database_connection_pool_exhaustion,database,high,scale_resource,"[4, 6, 8]"
sess_00269,medium,11,3,database_query_failure,database,critical,escalate_to_database_team,"[3, 6, 9]"
sess_00270,medium,8,3,message_queue_backlog,message-queue,high,scale_resource,"[3, 4, 5]"
sess_00271,none,6,3,external_api_failure,payment-service,high,inspect_network_dependency,"[3, 4, 6]"
sess_00272,none,7,3,network_timeout,gateway,high,inspect_network_dependency,"[4, 6, 7]"
sess_00273,high,9,3,deployment_regression,checkout-service,high,rollback_deployment,"[4, 5, 7]"
sess_00274,medium,10,3,resource_exhaustion,payment-service,critical,scale_resource,"[4, 6, 8]"
sess_00275,medium,12,3,database_connection_pool_exhaustion,database,high,scale_resource,"[4, 7, 9]"
sess_00276,medium,7,2,normal_no_issue,gateway,low,no_action_monitor,"[3, 6]"
sess_00277,high,11,3,configuration_error,checkout-service,critical,rollback_deployment,"[4, 6, 8]"
sess_00278,medium,7,2,authentication_failure,auth-service,high,rotate_or_check_credentials,"[4, 7]"
sess_00279,medium,7,3,deployment_regression,checkout-service,high,rollback_deployment,"[3, 6, 7]"
sess_00280,low,8,3,payment_gateway_timeout,payment-service,high,check_payment_gateway_and_retry,"[4, 6, 8]"
sess_00281,medium,9,3,configuration_error,checkout-service,critical,rollback_deployment,"[3, 6, 8]"
sess_00282,low,7,3,deployment_regression,checkout-service,medium,rollback_deployment,"[4, 6, 7]"
sess_00283,low,8,3,message_queue_backlog,message-queue,high,scale_resource,"[4, 6, 8]"
sess_00284,high,7,2,configuration_error,checkout-service,critical,rollback_deployment,"[4, 6]"
sess_00285,low,6,3,external_api_failure,payment-service,high,inspect_network_dependency,"[3, 4, 6]"
sess_00286,low,6,3,payment_gateway_timeout,payment-service,high,check_payment_gateway_and_retry,"[4, 5, 6]"
